"","document","topic","gamma"
"5001","Faux and Orchard: Little Deaths ",5,0.000281352876104286
"5002","Fedor: Return of the Last Emperor ",5,0.000503601383037178
"5003","Fifty Miles to Mexico ",5,0.000202973821674584
"5004","Five Minutes to Tomorrow ",5,0.000225399384709207
"5005","Flowers and Lap of a Rose ",5,0.000273800794750838
"5006","Forbidden Temptations ",5,0.000374259676169866
"5007","Force of the Ninja ",5,0.000479908081908951
"5008","Four Deadly Reasons ",5,0.000181325209363133
"5009","Four Guns to the Border ",5,0.000259850942961947
"5010","Frosted Pink with a Twist ",5,0.000337149161893273
"5011","Gangsters of the Frontier ",5,0.000374259676169894
"5012","Gentlemen of the Night ",5,0.00014728828296996
"5013","Ghost Recon Advanced Warfighter ",5,0.000337149161893282
"5014","Girl, Yeti, and a Spaceship ",5,0.000374259676169882
"5015","Go-Go Girls of the Apocalypse ",5,0.000195205233872023
"5016","Grievance Group: The Pardon ",5,0.00055877542538289
"5017","Gun Powder and Lead ",5,0.000225399384709226
"5018","Heart of Chaos ",5,0.000207094698238167
"5019","Hearts of the West ",5,0.000388514466312628
"5020","History of the Philadelphia Flyers ",5,0.000266643541740047
"5021","Homeland ",5,0.000161259187089037
"5022","IWA East Coast: Battle of the Butchers ",5,0.000188009392263235
"5023","In Search of History: The Night Tulsa Burned ",5,0.000266643541740043
"5024","In the Red ",5,0.000135545148756803
"5025","Jamestown Unearthed ",5,0.000403898124700769
"5026","Join the Marines ",5,0.000306734272636926
"5027","Justice of the Range ",5,0.000458344036148566
"5028","Kambal: The Twins of Prophecy ",5,0.000253395822602558
"5029","Karma, Hopes and Dreams in the Boulderfields of Nepal ",5,0.000175099986662445
"5030","Killing the Seeds ",5,0.000175099986662448
"5031","King of Chinatown ",5,0.000337149161893274
"5032","King of Dodge City ",5,0.000403898124700767
"5033","King of Kings ",5,0.000215859681784833
"5034","King of the Wild Stallions ",5,0.99512862827981
"5035","Kingdom: Fall of Illandrieal ",5,0.992410145555738
"5036","Kobblestone, the Journey Begins ",5,0.000503601383037172
"5037","Lai and Lanval ",5,0.00031624393517759
"5038","Land of the Open Range ",5,0.000326362118537635
"5039","Lash of the Whip ",5,0.000297779837619591
"5040","Last Light of Orion ",5,0.000361013895720686
"5041","Law of the Canyon ",5,0.000374259676169883
"5042","Life and Things ",5,0.737462148864142
"5043","Lipstick and Bullets ",5,0.000361013895720702
"5044","Lord of the Nutcracker Men ",5,0.000388514466312607
"5045","Love in the Bosses Office 2 ",5,0.000306734272636948
"5046","Made in the USA ",5,0.000306734272636936
"5047","Making the Grade ",5,0.992167309155097
"5048","Medal of Honor ",5,0.000403898124700754
"5049","Memoirs of a Survivor ",5,0.000215859681784835
"5050","Men of Respect ",5,0.0002977798376196
"5051","Merrily We Roll Along: The Early Days of the Automobile ",5,0.000220526412496891
"5052","Mojave Firebrand ",5,0.000259850942961947
"5053","NWA/Pro Wrestling Revolution: San Francisco 6.6.09 ",5,0.000326362118537649
"5054","National Geographic Inside: Cat & Mouse ",5,0.000235821270080376
"5055","National Geographic Inside: Trouble in Paradise ",5,0.000266643541740062
"5056","Native Nations ",5,0.000420550276284198
"5057","Nudes on Parade: Vintage Erotica of the 50s & 60s ",5,0.000184606815956315
"5058","Oath of Vengeance ",5,0.994707366100075
"5059","On the Edge ",5,0.000225399384709221
"5060","Once Upon an All Hallow's Eve ",5,0.000273800794750833
"5061","Once in a New Moon ",5,0.000438634562333098
"5062","Operation Christmas ",5,0.00040389812470077
"5063","Operation Ganymed ",5,0.000627526583450737
"5064","Operation Kenya ",5,0.000374259676169885
"5065","Operation Naked ",5,0.000241402176649004
"5066","Outlaws and Patriots ",5,0.000316243935177594
"5067","Outlaws of the Panhandle ",5,0.000316243935177589
"5068","Outlaws of the Plains ",5,0.000266643541740071
"5069","Pals of the Pecos ",5,0.000297779837619585
"5070","Path of Exile ",5,0.000326362118537636
"5071","Pieces for Peace ",5,0.000181325209363151
"5072","Point of Deception ",5,0.000195205233872031
"5073","Praise to the Man ",5,0.000420550276284196
"5074","Pride of the West ",5,0.000438634562333088
"5075","Primal Man: Artist in Motion - Naked Sketch Artists ",5,0.000306734272636933
"5076","Prof Tom Foolery Saves the Planet! ",5,0.00016125918708904
"5077","Pursuit the Movie ",5,0.000118259235579327
"5078","Rachel and the Beelzebub Bombardiers ",5,0.00038851446631262
"5079","Raiders of Sunset Pass ",5,0.9971943062389
"5080","Ranger of Cherokee Strip ",5,0.000388514466312648
"5081","Ready for Love ",5,0.000266643541740048
"5082","Redemption: The Challenge ",5,0.000374259676169895
"5083","Reincarnation ",5,0.000266643541740056
"5084","Remarkable Shades of Gay ",5,0.000306734272636925
"5085","Renegades of the West ",5,0.000420550276284198
"5086","Return of the Bad Men ",5,0.000211386370599057
"5087","Revenge of the Virgins ",5,0.000337149161893262
"5088","Reverse Affect ",5,0.000361013895720703
"5089","Reversion ",5,0.000438634562333096
"5090","Ricky Steamboat: The Life Story of the Dragon ",5,0.000281352876104273
"5091","Ride in the Whirlwind ",5,0.000289333383436134
"5092","Riders of the Law ",5,0.000361013895720684
"5093","Riders of the Pony Express ",5,0.000289333383436131
"5094","Right to Love ",5,0.000420550276284183
"5095","River's Crossing ",5,0.000326362118537613
"5096","Robbing the Grave ",5,0.000388514466312613
"5097","Robot Revolution ",5,0.000281352876104267
"5098","Romeo and Juliet ",5,0.000374259676169889
"5099","Rose of Cimarron ",5,0.000306734272636924
"5100","Rough Riding Rhythm ",5,0.000438634562333105
"5101","Running with the Pack ",5,0.000374259676169894
"5102","Saga of a Crew 2008 Special Edition ",5,0.000211386370599057
"5103","Savannah in the Civil War ",5,0.000361013895720713
"5104","Second to One ",5,0.000361013895720702
"5105","Secret Scout in the Temple of Demise ",5,0.000361013895720689
"5106","Seduction of the Will ",5,0.000259850942961944
"5107","She Was the Deputy's Wife ",5,0.000326362118537622
"5108","Sipping Jetstreams: An Adventure in Life ",5,0.000306734272636932
"5109","Sir Kendrick and the Castle of Bel Lione ",5,0.000503601383037151
"5110","Space 1889: The Secret of Phobos ",5,0.00036101389572071
"5111","Space Bandits: Fight for Extant ",5,0.000337149161893283
"5112","Spirit of the West ",5,0.000388514466312605
"5113","Spirits of Hell ",5,0.000273800794750828
"5114","Springtime in Texas ",5,0.000348673654518563
"5115","Stage to Tucson ",5,0.000289333383436123
"5116","Standpoint: The Diamond War ",5,0.000289333383436112
"5117","Star Trek: The Next Generation - The Transinium Challenge ",5,0.000337149161893279
"5118","Star Wars: The Force Unleashed ",5,0.000348673654518538
"5119","Star Wars: The Old Republic - Knights of the Eternal Throne ",5,0.000374259676169901
"5120","Stopping Power ",5,0.000273800794750839
"5121","Streets of Rage ",5,0.000374259676169881
"5122","Sweatin' to the Oldies 2 ",5,0.000207094698238177
"5123","Sword of Vengeance ",5,0.000420550276284193
"5124","TSF Channel Presents How to Really Pack a Backpack Parts 1-3 ",5,0.000438634562333095
"5125","Television's Opening Night: How the Box Was Born ",5,0.000326362118537614
"5126","The 303rd ",5,0.000348673654518545
"5127","The 8th Person ",5,0.00043863456233309
"5128","The Alchemist Coterie ",5,0.000172144962558299
"5129","The Amazing Trade Shop Science Race! ",5,0.000348673654518551
"5130","The Americans in the Bulge ",5,0.000156316756342509
"5131","The Arbitrator ",5,0.000337149161893273
"5132","The Beacon ",5,0.000241402176648999
"5133","The Boiling Point ",5,0.0004205502762842
"5134","The Broken Land ",5,0.000438634562333112
"5135","The Bushwhackers ",5,0.000166524362417139
"5136","The Charge at Feather River ",5,0.000215859681784837
"5137","The Clinch Mountain Tracker ",5,0.000348673654518563
"5138","The Common Sense ",5,0.0001255362781702
"5139","The Contributors ",5,0.000337149161893266
"5140","The Cost of Vengeance ",5,0.000306734272636931
"5141","The Cowboy and the Indians ",5,0.000326362118537637
"5142","The Danger Element ",5,0.000403898124700764
"5143","The Deal ",5,0.000479908081908955
"5144","The Destiny of Britain ",5,0.000558775425382892
"5145","The Devil Wears Spurs ",5,0.000175099986662455
"5146","The Dirty Dancer ",5,0.000403898124700765
"5147","The Dude Cowboy ",5,0.000529755685176318
"5148","The Eagle and the Hawk ",5,0.000220526412496886
"5149","The Entire History of the Louisiana Purchase ",5,0.00034867365451855
"5150","The Factory ",5,0.000458344036148586
"5151","The Fighting Ranger ",5,0.000388514466312629
"5152","The Fourth Horseman ",5,0.000374259676169908
"5153","The Galloping Ace ",5,0.000337149161893281
"5154","The Great Divide ",5,0.99342878092598
"5155","The Great Wall of China ",5,0.000420550276284182
"5156","The Hallway ",5,0.000458344036148582
"5157","The Hard Hombre ",5,0.00045834403614859
"5158","The Hopeful ",5,0.000191539752837774
"5159","The Indy Wrestler ",5,0.000241402176649016
"5160","The Internationals ",5,0.000316243935177602
"5161","The Invaders ",5,0.000337149161893267
"5162","The Invisible Man ",5,0.000297779837619599
"5163","The Iron Rider ",5,0.000591158795982335
"5164","The Janus Project ",5,0.000316243935177593
"5165","The LBC: Smile Now, Cry Later ",5,0.000230492579313084
"5166","The Lackey ",5,0.000273800794750838
"5167","The Land of Stories: The Wishing Spell ",5,0.00040389812470074
"5168","The Last Cowboy ",5,0.000403898124700761
"5169","The Last Cowboy Painter ",5,0.000316243935177581
"5170","The Last Frontier ",5,0.000438634562333093
"5171","The Last Man on Earth ",5,0.00047990808190895
"5172","The Lawless Breed ",5,0.543426552383709
"5173","The Legend of Famen Temple ",5,0.00040389812470077
"5174","The Lighthouses of North America ",5,0.000403898124700769
"5175","The Long Rope ",5,0.000348673654518552
"5176","The Love War ",5,0.000591158795982336
"5177","The Man from Galveston ",5,0.000403898124700767
"5178","The Man from Texas ",5,0.000235821270080376
"5179","The Man from Wyoming ",5,0.000273800794750836
"5180","The Man from the Alamo ",5,0.000420550276284194
"5181","The Mandela Affect ",5,0.000420550276284192
"5182","The Mechanics of ID ",5,0.000374259676169894
"5183","The Mob Priest ",5,0.00018132520936313
"5184","The Mustachioed Bandit Meets His End ",5,0.000361013895720711
"5185","The Myth of Eligos ",5,0.00028933338343613
"5186","The Neighborhood ",5,0.000479908081908953
"5187","The Ninja He Will Rise ",5,0.0004205502762842
"5188","The Old Barn Dance ",5,0.000348673654518547
"5189","The Orb ",5,0.00038851446631263
"5190","The Outcasts of Poker Flat ",5,0.0002205264124969
"5191","The Painted Desert ",5,0.000273800794750841
"5192","The Prairie King ",5,0.000361013895720687
"5193","The Proud Rebel ",5,0.000235821270080363
"5194","The Real Thing ",5,0.000316243935177598
"5195","The Revolution ",5,0.000438634562333098
"5196","The Royal Rider ",5,0.000458344036148574
"5197","The Running Game ",5,0.000374259676169882
"5198","The Sand Dune ",5,0.000591158795982336
"5199","The Scarlet Brand ",5,0.000479908081908941
"5200","The Search for Shana Star ",5,0.000202973821674586
"5201","The Secrets of Genghis Khan ",5,0.000281352876104277
"5202","The Shadowlands ",5,0.000289333383436136
"5203","The Silent Gun ",5,0.000420550276284203
"5204","The Sons of Katie Elder ",5,0.000388514466312627
"5205","The Starvation Proclamation ",5,0.000326362118537626
"5206","The Stop Hit II, the Art of Invincibility ",5,0.000337149161893265
"5207","The Storming ",5,0.000220526412496885
"5208","The Stranger ",5,0.936982350492441
"5209","The Subject ",5,0.000403898124700756
"5210","The Superhero ",5,0.00052975568517633
"5211","The Sydical Tape ",5,0.000388514466312614
"5212","The Tall Texan ",5,0.000316243935177581
"5213","The Terror of Tiny Town ",5,0.000627526583450737
"5214","The Texas Marshal ",5,0.0324151111090323
"5215","The Third Testament: The Antichrist and the Harlot ",5,0.000235821270080367
"5216","The Titans of Windsurfing ",5,0.00021138637059905
"5217","The Trail Drive ",5,0.000403898124700755
"5218","The Trail to Hope Rose ",5,0.000458344036148595
"5219","The Trials of Darksmoke ",5,0.000388514466312618
"5220","The Twelve Trees of Christmas ",5,0.000403898124700773
"5221","The Vanishing West ",5,0.000668662350014136
"5222","The Vengeance Trail ",5,0.000348673654518554
"5223","The Victors ",5,0.000420550276284198
"5224","The Wanted Woman ",5,0.000479908081908952
"5225","The Willing Suspension of Disbelief ",5,0.000166524362417139
"5226","The Works of Mercy ",5,0.00038851446631262
"5227","The Wrong Way ",5,0.000558775425382894
"5228","The X-Files: Back from the Dead Fan Film ",5,0.992410145555738
"5229","There Came an Echo ",5,0.000235821270080365
"5230","There Goes My Hero ",5,0.000503601383037184
"5231","They Were Not Divided ",5,0.00032636211853762
"5232","Thieves of Fortune ",5,0.991631832291555
"5233","Third Option ",5,0.000188009392263238
"5234","Thirsty the Movie ",5,0.000326362118537635
"5235","Thrills Spills and Chills ",5,0.000158749512219417
"5236","Through the Storm ",5,0.000184606815956322
"5237","To Be Loved ",5,0.000361013895720702
"5238","To Live or Die In ",5,0.000503601383037185
"5239","Too Close to the Raven ",5,0.00024140217664901
"5240","Tracing Skylines ",5,9.97550298161633e-05
"5241","Trails of the Wild ",5,0.000247253639758248
"5242","Trained to Kill ",5,0.000149446194604306
"5243","Turning Point: Fall of Liberty ",5,0.000337149161893263
"5244","Twisted Love ",5,0.00055877542538287
"5245","Two Fisted Justice ",5,0.000420550276284197
"5246","Ultima IV: Quest of the Avatar ",5,0.000337149161893264
"5247","Under the Dancing Stars ",5,0.000316243935177588
"5248","WWE Night of Champions ",5,0.000388514466312639
"5249","WWE: Greatest Stars of the New Millenium ",5,0.000230492579313085
"5250","We Build Castles in the Ice ",5,0.000281352876104286
"5251","Weapon of Choice ",5,0.000259850942961942
"5252","Weird Scenes Inside the Presidential Election 1984 ",5,0.000348673654518548
"5253","West of the Brazos ",5,0.000361013895720716
"5254","When the City Sleeps ",5,0.000266643541740049
"5255","When the Storm God Rides: Hell's Coming with Me ",5,0.323464890092868
"5256","Who Wants to Be a Princess? ",5,0.000247253639758246
"5257","Wrestling With the Mob ",5,0.992167309155097
"5258","""I Am the Darkness"" ",5,0.000326362118537611
"5259","""Max Random and the Zombie 500"" ",5,0.000316243935177596
"5260","""Tales of a Broken Reality"" ",5,0.000273800794750793
"5261","""The Most Evil Men and Women in History"" ",5,0.000458344036148589
"5262","A Shadowing of Angels ",5,0.000326362118537623
"5263","Action Galore ",5,0.000458344036148593
"5264","Blood, Bullets and Babes ",5,0.000403898124700752
"5265","Brotherhood of Battle ",5,0.000374259676169871
"5266","Chronicles of the Roman Numeral X ",5,0.000438634562333091
"5267","Clash of the Champions XXI ",5,0.000326362118537637
"5268","Crisis Function Awakening ",5,0.000458344036148583
"5269","Dance of the White Tiger ",5,0.000458344036148598
"5270","Dark Matter Diaries the Recruitment ",5,0.000627526583450737
"5271","Day of the Survivalist ",5,0.00028933338343611
"5272","Defenders of the Gao ",5,0.000348673654518551
"5273","Elevator Action Returns ",5,0.000529755685176331
"5274","Eyes of the Roshi ",5,0.000361013895720705
"5275","FAQ: Frequently Asked Questions ",5,0.000458344036148588
"5276","Fluctuations ",5,0.000420550276284192
"5277","Hard to Give Up ",5,0.000558775425382875
"5278","In the Land of Fire & Ice ",5,0.987913566807108
"5279","Knight of the Plains ",5,0.000438634562333071
"5280","Merchant of Alyss ",5,0.000403898124700757
"5281","Mission of Justice ",5,0.000503601383037186
"5282","Option 5 ",5,0.000316243935177582
"5283","Separation of the Mind ",5,0.000458344036148583
"5284","Shadow of the Crescent Moon ",5,0.000388514466312618
"5285","Spoilers of the West ",5,0.000503601383037183
"5286","The Agents ",5,0.000627526583450729
"5287","The Avenging Angel ",5,0.000668662350014139
"5288","The Cape Canaveral Monsters ",5,0.000479908081908947
"5289","The Face ",5,0.000306734272636933
"5290","The Founding of an Army ",5,0.000458344036148583
"5291","The Infiltrators ",5,0.00052975568517633
"5292","The Inquiry ",5,0.000281352876104276
"5293","The Last Assignment ",5,0.000388514466312621
"5294","The Last of the Duanes ",5,0.000627526583450743
"5295","The Law of 45's ",5,0.000503601383037165
"5296","The Magic and the Rose ",5,0.000297779837619597
"5297","The Mountain of the Lord ",5,0.000374259676169888
"5298","The Nuke Brothers ",5,0.000253395822602561
"5299","The Promise ",5,0.000479908081908944
"5300","The Radical Boxer Challenges the Big Boss ",5,0.000374259676169883
"5301","The Randomers ",5,0.000503601383037172
"5302","The Rojin Protocol ",5,0.000420550276284185
"5303","The Unaltered ",5,0.000420550276284193
"5304","The Vanquished ",5,0.000832349432968425
"5305","The War of the Starfighters ",5,0.000273800794750847
"5306","The Will of the People ",5,0.000403898124700759
"5307","The Young Guns ",5,0.000503601383037173
"5308","Thirst: The Last Vampire ",5,0.000458344036148589
"5309","Three Young Texans ",5,0.000529755685176344
"5310","Thunderhawk: Operation Phoenix ",5,0.000479908081908936
"5311","Tiger Zero Three ",5,0.000438634562333099
"5312","Twice the Fear ",5,0.000503601383037172
"5313","Unconditional Love ",5,0.000220526412496897
"5314","Visitors from the Unknown ",5,0.000388514466312628
"5315","Welcome to Nowhere ",5,0.000266643541740046
"5316","Belly of the Beast ",6,3.08865917293223e-05
"5317","King of the Pecos ",6,4.14223111513527e-05
"5318","A Loving Gentleman ",6,3.69240422196096e-05
"5319","French Baroque: Now and Then ",6,5.41842239964985e-05
"5320","Robbers of the Range ",6,5.30568833122147e-05
"5321","The Christmas Ornament ",6,3.94975944485614e-05
"5322","The Return of Wild Bill ",6,4.85146662504265e-05
"5323","The Prototypes ",6,4.67363917095322e-05
"5324","Hunted by Night ",6,6.40510563375791e-05
"5325","Islam in the Heart of the People ",6,0.000125536278170207
"5326","You Are the One ",6,4.99397867195001e-05
"5327","Fighting Man of the Plains ",6,8.20928797497319e-05
"5328","Riders of the Purple Sage ",6,3.02455155855235e-05
"5329","The Outlaw Josey Wales ",6,5.59680177131839e-05
"5330","Heroes of the Hills ",6,6.52807971786711e-05
"5331","Phantom of the Desert ",6,7.95325780844203e-05
"5332","Road to Rio: The U.S. Paralympic Team Trials ",6,9.69117914204826e-05
"5333","The Boss Rider of Gun Creek ",6,6.28667898703547e-05
"5334","The Dancer's Peril ",6,4.65232317391665e-05
"5335","The Freedom Quest of Oney Judge ",6,6.09874204755366e-05
"5336","The Last Challenge ",6,0.997605879284411
"5337","Flipping the Score ",6,5.27823399357805e-05
"5338","For the Service ",6,7.43175174755607e-05
"5339","Moses: Fallen. In the City of Angels. ",6,0.000111779633313985
"5340","South of St. Louis ",6,5.75467606019041e-05
"5341","The Goose Girl ",6,4.96964806661643e-05
"5342","The Man from Monterey ",6,3.80252046409083e-05
"5343","The Outlaw Deputy ",6,7.65483534269917e-05
"5344","The Purifiers ",6,6.52807971786723e-05
"5345","Truthful Tulliver ",6,5.33342976552742e-05
"5346","Age of Wonders ",6,0.998545001192372
"5347","Feud of the West ",6,8.92779370020158e-05
"5348","Futbaal: The Price of Dreams ",6,5.95629384702497e-05
"5349","Goodnight for Justice: The Measure of a Man ",6,7.54164418963893e-05
"5350","Outlaws of the Rockies ",6,0.000145191802160144
"5351","Overland Trails ",6,8.92779370020264e-05
"5352","Party Like the Queen of France ",6,4.4300671864123e-05
"5353","Rough and Ready ",6,0.000147288282969969
"5354","Streets of Ghost Town ",6,4.76089293726458e-05
"5355","The Hanging Tree ",6,5.47660523577427e-05
"5356","The Mirror Man ",6,0.000161259187089059
"5357","Under the Tonto Rim ",6,8.92779370020249e-05
"5358","""Berlin 1936: Games of the XI Olympiad"" ",6,5.78732577617795e-05
"5359","""Boss and Me"" ",6,0.000266643541740076
"5360","Battles Bouts and Brawls: The Story of Pro Wrestling in Detroit and the Surrounding Areas ",6,9.33636963619907e-05
"5361","Buckaroo Sheriff of Texas ",6,7.95325780844206e-05
"5362","Cocos 1914: The Encounter Between HMAS Sydney and SMS Emden ",6,7.7127147021891e-05
"5363","Code of the Range ",6,6.83424403107395e-05
"5364","Hot Popcorn: Movie Awards Greatest Moments ",6,8.85033248094549e-05
"5365","Jumbish: A Movement - The Movie ",6,0.000102770142963138
"5366","Not Even the Devil ",6,0.000137370549445569
"5367","Riders in the Sky ",6,8.14374737990725e-05
"5368","Romance Complicated ",6,8.20928797497351e-05
"5369","Summer in the Vineyard ",6,5.1975496743528e-05
"5370","The Dream of Alvareen ",6,0.000108221850068887
"5371","The Forty-Niners ",6,3.9194064505086e-05
"5372","The Great Lion Kun Seng Keng ",6,9.08685641994126e-05
"5373","The Pocatello Kid ",6,9.42261386198319e-05
"5374","The Ranger, the Cook and a Hole in the Sky ",6,0.000130348862416117
"5375","The Riding Tornado ",6,6.69958355639335e-05
"5376","The Roaring West ",6,0.998824466027065
"5377","The Vanishing Outpost ",6,8.62580924803975e-05
"5378","Trail of Terror ",6,6.02667632848347e-05
"5379","""King of the Palace"" ",6,9.0868564199412e-05
"5380","Cowboy and the Prizefighter ",6,7.37799780635408e-05
"5381","Dawn of Twilight ",6,0.000235821270080381
"5382","Fall of the Unknown ",6,8.77420387037934e-05
"5383","Ghost Town: The Movie ",6,5.85374941281743e-05
"5384","Infinity: Chronicles of Nick ",6,0.000100740215917522
"5385","Last of the Romantics ",6,6.61271981692359e-05
"5386","Law of the Golden West ",6,8.34358574957261e-05
"5387","Law of the Lash ",6,9.51046629655407e-05
"5388","Law of the Panhandle ",6,9.33636963619741e-05
"5389","Party Like the Rich and Famous ",6,5.53605116560091e-05
"5390","The End of the Game ",6,0.000122520573140034
"5391","The Fibro Guy's Graded Exercise Programme for Fibromyalgia ",6,8.92779370020235e-05
"5392","The Gambler Returns: The Luck of the Draw ",6,0.000111779633313971
"5393","The Gunfighter ",6,5.92171549831835e-05
"5394","The Life and Times of Gangsta Brown Part 2 ",6,7.65483534270095e-05
"5395","The Outlaw Henry Starr ",6,0.000130348862416129
"5396","The Phantom Creeps ",6,4.76089293726289e-05
"5397","The Whispering Skull ",6,7.43175174755703e-05
"5398","The Wipers Times ",6,5.5662607141774e-05
"5399","""The Keepers"" ",6,0.000133767624283888
"5400","Alien Blast the Encounter ",6,0.000118259235579351
"5401","Anna to the Infinite Power ",6,0.000202973821674591
"5402","Anonymity: The History of Straight, Incorporated ",6,9.97550298161834e-05
"5403","Art of War 3 ",6,0.000128704185817249
"5404","Bad Men of Tombstone ",6,0.000156316756342511
"5405","Best of Severe Offroad ",6,0.996413291329497
"5406","Comin' 'Round the Mountain ",6,7.1204850764426e-05
"5407","Feud of the Trail ",6,3.47835546114474e-05
"5408","Goodnight for Justice: Queen of Hearts ",6,9.25168986040619e-05
"5409","Hawk of the Hills ",6,0.000115579291769975
"5410","Headin' for Trouble ",6,9.33636963619931e-05
"5411","Heart of the West ",6,7.02244391403132e-05
"5412","How to Dance Through Time, Vol II: Dances of the Ragtime Era 1910-1920 ",6,8.92779370020227e-05
"5413","Kurt Busch the Outlaw ",6,7.89172628460339e-05
"5414","Last Man in Dhaka Central: The Young Man Was, Part III ",6,5.22416896386542e-05
"5415","Law and Order ",6,0.000115579291769959
"5416","Lure of the Wasteland ",6,0.000132036116876835
"5417","Matt Mercury, Plot of the Galactic Mastermind ",6,0.000108221850068875
"5418","Outcasts of the Trail ",6,0.000111779633313975
"5419","Partners of the Trail ",6,4.85146662504727e-05
"5420","Peace and War ",6,0.000289333383436137
"5421","Pioneers of the West ",6,4.7608929372578e-05
"5422","Return of the Monster Trucks ",6,0.000235821270080374
"5423","Ride to Hell: Retribution ",6,0.000104883558849833
"5424","Riders of the Dawn ",6,0.000119646359148803
"5425","Saga of Love: The Kingdom of Angels ",6,0.000188009392263253
"5426","Shakedown: Return of the Sontarans ",6,0.000169288022382442
"5427","Song of the Caballero ",6,0.000113018120038563
"5428","Sons of the Saddle ",6,0.000141172930678051
"5429","Sports Humanitarian of the Year Awards ",6,0.000220526412496918
"5430","Story of the Christmas Carol ",6,0.00018132520936315
"5431","The Art of Racing Sailing ",6,8.62580924804311e-05
"5432","The Cattle Thief ",6,8.27589206586421e-05
"5433","The Challenge of Rin Tin Tin ",6,0.000253395822602562
"5434","The Covered Trail ",6,0.000184606815956309
"5435","The Healing Project ",6,0.000122520573140034
"5436","The Killing Zone ",6,0.000158749512219433
"5437","The Peacekeeper ",6,5.41842239964947e-05
"5438","The Scroll of Wing Chun White Crane ",6,0.000163849487592445
"5439","The Shopper's Secret ",6,0.000191539752837768
"5440","Trails of Danger ",6,8.92779370020392e-05
"5441","Trouble in Sundown ",6,0.000166524362417137
"5442","""Beauty and the Beast"" ",6,9.42261386198178e-05
"5443","""Icarus: Twist of Fates"" ",6,7.27278947563836e-05
"5444","""Sugar and Strix"" ",6,0.000202973821674586
"5445","""The Face Behind the File"" ",6,0.000202973821674596
"5446","""The King and the Playwright: A Jacobean History"" ",6,9.33636963619934e-05
"5447","""West Coast Wrestling Connection"" ",6,0.000175099986662448
"5448","A Thunder of Drums ",6,0.000121066409509174
"5449","An Evening with Walter Hill & Lawrence Gordon. A Tribute to Andrew Laszlo ",6,0.00020709469823817
"5450","Blood of the Hunter ",6,0.000178158234014254
"5451","Bonanza: The Next Generation ",6,0.000158749512219423
"5452","Bullitt and the Mystery of the Devil's Root ",6,0.000181325209363149
"5453","Charly 10th Anniversary Encore ",6,0.00013034886241611
"5454","Code of the Saddle ",6,0.000128704185817248
"5455","Code of the West ",6,0.000137370549445574
"5456","Cold War Peacemaker: The Story of the Convair B-36 ",6,0.000172144962558282
"5457","Cross the Line ",6,0.000122520573140034
"5458","Deep in the Jungle ",6,0.000133767624283886
"5459","Fatefully Yours ",6,0.000102770142963134
"5460","For a Fistful of Diamonds ",6,0.000111779633313977
"5461","Freestyle Fighting Championship XV ",6,0.000104883558849828
"5462","Katy Hux and the Stone of Anubis ",6,0.000108221850068873
"5463","Lost Gold of Khan ",6,9.87889262966962e-05
"5464","Men of the Desert ",6,0.000114284358408852
"5465","Molly and Lawless John ",6,0.000241402176649024
"5466","Moto 8: The Movie ",6,0.000199013744083032
"5467","North from the Lone Star ",6,0.000281352876104292
"5468","Octia of the Pink Ocean ",6,0.000130348862416116
"5469","Once Upon a Time in the Hood ",6,0.000178158234014234
"5470","One Touch of Sin ",6,0.000132036116876836
"5471","Plainsman and the Lady ",6,9.33636963619861e-05
"5472","Plunderers of Painted Flats ",6,0.000124010094218628
"5473","Pro Zombie Soccer: Apocalypse Edition ",6,0.000253395822602569
"5474","Ride the High Country ",6,0.9971943062389
"5475","Ring of Honor Winter Warriors Tour: Duluth ",6,9.59997234601792e-05
"5476","Romance Rides the Range ",6,0.000121066409509158
"5477","Saawan... The Love Season ",6,8.92779370020169e-05
"5478","Scoliosis Exercises for Prevention and Correction ",6,0.000161259187089057
"5479","Sheriff of Las Vegas ",6,0.000107085722440522
"5480","Shinobi: The Law of Shinobi ",6,0.000235821270080383
"5481","Shirley Pimple in the John Wayne Temple of Doom ",6,0.000163849487592443
"5482","Siam Yuth: The Dawn of the Kingdom ",6,0.000147288282969968
"5483","Southern Fable ",6,0.000121066409509164
"5484","Supergirl & the Bloody Traces of Stargirl ",6,9.51046629655683e-05
"5485","The Ballad of Lefty Brown ",6,0.000149446194604311
"5486","The Complete History of the New York Jets ",6,0.000230492579313098
"5487","The Elements Club: Lord of Flawless Strength ",6,9.08685641993968e-05
"5488","The Fighting Champ ",6,0.000253395822602556
"5489","The Flower Shop ",6,0.000135545148756812
"5490","The Gambler of the West ",6,0.00017509998666246
"5491","The Girl on a Motorcycle ",6,9.08685641994046e-05
"5492","The Greatest Game Ever Played ",6,8.14374737990903e-05
"5493","The Gunfight at Dodge City ",6,0.000178158234014247
"5494","The History of University of Kentucky Basketball ",6,8.27589206586386e-05
"5495","The Lady with the Torch : Elsie Inglis's War ",6,0.000266643541740072
"5496","The Long Hunt of April Savage ",6,0.000230492579313086
"5497","The Lost Number ",6,0.992638377456713
"5498","The Man with the Iron Fists ",6,0.000105973201429882
"5499","The Mexicali Kid ",6,0.000306734272636952
"5500","The Mystical Adventures of Billy Owens ",6,0.000178158234014235
"5501","The Other Side of the Lake the Purple Girl: Episode V - Battle in the Sky ",6,9.87889262966875e-05
