"","document","topic","gamma"
"112","Song of the Caballero ",1,0.000113018120038566
"113","Sons of the Saddle ",1,0.000141172930678043
"114","Sports Humanitarian of the Year Awards ",1,0.000220526412496921
"115","Story of the Christmas Carol ",1,0.000181325209363145
"116","The Art of Racing Sailing ",1,8.62580924803702e-05
"117","The Cattle Thief ",1,8.27589206586564e-05
"118","The Challenge of Rin Tin Tin ",1,0.000253395822602575
"119","The Covered Trail ",1,0.000184606815956322
"120","The Healing Project ",1,0.000122520573140037
"121","The Killing Zone ",1,0.000158749512219421
"122","The Peacekeeper ",1,5.41842239965022e-05
"123","The Scroll of Wing Chun White Crane ",1,0.000163849487592443
"124","The Shopper's Secret ",1,0.00019153975283777
"125","Trails of Danger ",1,8.92779370020302e-05
"126","Trouble in Sundown ",1,0.000166524362417149
"127","""Beauty and the Beast"" ",1,0.997738572673124
"128","""Icarus: Twist of Fates"" ",1,7.27278947563824e-05
"129","""Sugar and Strix"" ",1,0.00020297382167458
"130","""The Face Behind the File"" ",1,0.000202973821674583
"131","""The King and the Playwright: A Jacobean History"" ",1,9.33636963619972e-05
"132","""West Coast Wrestling Connection"" ",1,0.000175099986662451
"133","A Thunder of Drums ",1,0.000121066409509174
"134","An Evening with Walter Hill & Lawrence Gordon. A Tribute to Andrew Laszlo ",1,0.000207094698238181
"135","Blood of the Hunter ",1,0.000178158234014252
"136","Bonanza: The Next Generation ",1,0.000158749512219423
"137","Bullitt and the Mystery of the Devil's Root ",1,0.000181325209363137
"138","Charly 10th Anniversary Encore ",1,0.00013034886241611
"139","Code of the Saddle ",1,0.000128704185817237
"140","Code of the West ",1,0.000137370549445583
"141","Cold War Peacemaker: The Story of the Convair B-36 ",1,0.000172144962558284
"142","Cross the Line ",1,0.000122520573140041
"143","Deep in the Jungle ",1,0.00013376762428387
"144","Fatefully Yours ",1,0.997533516568885
"145","For a Fistful of Diamonds ",1,0.000111779633313968
"146","Freestyle Fighting Championship XV ",1,0.000104883558849821
"147","Katy Hux and the Stone of Anubis ",1,0.000108221850068876
"148","Lost Gold of Khan ",1,9.87889262966884e-05
"149","Men of the Desert ",1,0.000114284358408851
"150","Molly and Lawless John ",1,0.000241402176649012
"151","Moto 8: The Movie ",1,0.000199013744083029
"152","North from the Lone Star ",1,0.000281352876104289
"153","Octia of the Pink Ocean ",1,0.000130348862416121
"154","Once Upon a Time in the Hood ",1,0.000178158234014256
"155","One Touch of Sin ",1,0.000132036116876835
"156","Plainsman and the Lady ",1,9.33636963619795e-05
"157","Plunderers of Painted Flats ",1,0.000124010094218625
"158","Pro Zombie Soccer: Apocalypse Edition ",1,0.000253395822602573
"159","Ride the High Country ",1,0.000116903906712521
"160","Ring of Honor Winter Warriors Tour: Duluth ",1,9.59997234601866e-05
"161","Romance Rides the Range ",1,0.000121066409509173
"162","Saawan... The Love Season ",1,8.92779370020094e-05
"163","Scoliosis Exercises for Prevention and Correction ",1,0.000161259187089056
"164","Sheriff of Las Vegas ",1,0.000107085722440529
"165","Shinobi: The Law of Shinobi ",1,0.000235821270080383
"166","Shirley Pimple in the John Wayne Temple of Doom ",1,0.000163849487592434
"167","Siam Yuth: The Dawn of the Kingdom ",1,0.000147288282969966
"168","Southern Fable ",1,0.000121066409509161
"169","Supergirl & the Bloody Traces of Stargirl ",1,9.51046629655283e-05
"170","The Ballad of Lefty Brown ",1,0.000149446194604302
"171","The Complete History of the New York Jets ",1,0.000230492579313085
"172","The Elements Club: Lord of Flawless Strength ",1,9.08685641994162e-05
"173","The Fighting Champ ",1,0.000253395822602563
"174","The Flower Shop ",1,0.000135545148756819
"175","The Gambler of the West ",1,0.000175099986662468
"176","The Girl on a Motorcycle ",1,9.08685641994048e-05
"177","The Greatest Game Ever Played ",1,8.14374737990713e-05
"178","The Gunfight at Dodge City ",1,0.000178158234014262
"179","The History of University of Kentucky Basketball ",1,8.27589206586561e-05
"180","The Lady with the Torch : Elsie Inglis's War ",1,0.00026664354174006
"181","The Long Hunt of April Savage ",1,0.000230492579313094
"182","The Lost Number ",1,0.000306734272636948
"183","The Man with the Iron Fists ",1,0.000105973201429894
"184","The Mexicali Kid ",1,0.00030673427263694
"185","The Mystical Adventures of Billy Owens ",1,0.000178158234014244
"186","The Other Side of the Lake the Purple Girl: Episode V - Battle in the Sky ",1,9.87889262966954e-05
"187","The Phantom Cowboy ",1,0.000125536278170193
"188","The Rough, Tough West ",1,8.62580924803857e-05
"189","The Ruse of the Rattler ",1,0.000132036116876827
"190","Touched by a Vampire ",1,0.000163849487592433
"191","Trail of Kit Carson ",1,0.000130348862416112
"192","Trail of the Silver Spurs ",1,0.00011557929176996
"193","Wessyngton Plantation: A Family's Road to Freedom ",1,9.97550298161769e-05
"194","Wingnut's Search for Soul ",1,0.000133767624283876
"195","Winners of the West ",1,5.82034808882768e-05
"196","Within the Shadow of the Tree: Dark Dreams ",1,0.000135545148756817
"197","Zameer: The Awakening of a Soul ",1,0.000133767624283872
"198","""3x3 the Immersive Fiction"" ",1,0.000113018120038571
"199","""Bees in the Trap"" ",1,9.51046629655461e-05
"200","""Beijing 2008: Games of the XXIX Olympiad"" ",1,0.000259850942961957
"201","""Children of the Dust"" ",1,0.00014728828296998
"202","""Lonesome Dove: The Outlaw Years"" ",1,0.000125536278170214
"203","""One Mom and Three Dads"" ",1,0.000175099986662461
"204","""Road to the NHL Outdoor Classics"" ",1,0.000306734272636942
"205","""Save the Last Dance for Me"" ",1,0.000161259187089067
"206","""The Journey: The Art of Fighting"" ",1,0.000211386370599059
"207","""The Miraculous Mellops"" ",1,0.000225399384709211
"208","""Travel the World: Europe"" ",1,0.000266643541740065
"209","Across the Plains ",1,0.00015874951221943
"210","Adventures of Red Ryder ",1,0.000137370549445559
"211","America Is Still the Place ",1,0.000225399384709229
"212","An Exclusive Inside Look at 'Harry Potter and the Order of the Phoenix' ",1,0.000220526412496908
"213","Athena, the Goddess of War ",1,0.000143154165795656
"214","Back to the Planet of the Apes ",1,6.88034192666269e-05
"215","Balala the Fairies: The Movie ",1,0.000361013895720703
"216","Beyond the Sacramento ",1,0.000306734272636937
"217","Billy the Kid Wanted ",1,0.000130348862416113
"218","Blazing the Western Trail ",1,0.000130348862416127
"219","Blood and Spurs ",1,0.000104883558849835
"220","Blood of the Nation ",1,0.000102770142963137
"221","Brand of Fear ",1,0.000230492579313098
"222","Brand of the Outlaws ",1,0.000316243935177608
"223","Buns of Steel ",1,0.000121066409509162
"224","Buy This for Your Girlfriend: Welcome to Football! ",1,0.000184606815956299
"225","Call of Duty: Siege ",1,9.42261386198227e-05
"226","Call of the Prairie ",1,0.000316243935177607
"227","Cowboy and Lucky ",1,8.77420387038022e-05
"228","Cruz Reynoso: Sowing the Seeds of Justice ",1,0.000215859681784839
"229","DELTA STATE: Slipping Into the Future ",1,0.000211386370599059
"230","Daffy Duck: The Marvin Missions ",1,0.000135545148756816
"231","Daughter of the West ",1,0.000119646359148809
"232","Daughters of Club Bilitis ",1,0.991335666502703
"233","Deadly Diversions ",1,0.000137370549445584
"234","Death of the Reel ",1,0.000178158234014261
"235","Desperadoes of Dodge City ",1,0.000374259676169899
"236","Detours: The Film ",1,0.000104883558849821
"237","Discovery of the Secret ",1,0.000289333383436144
"238","Drawing Water: On and Off Time-W 82.58 150 x N 35/12 634 ",1,0.000149446194604306
"239","Dulcy and Red ",1,0.000225399384709207
"240","Ecstasy of Gold ",1,0.000128704185817246
"241","Edinburgh: An Entertaining Tour of Its Sights and Secrets ",1,0.000122520573140036
"242","Evolution 20: Super Shred ",1,0.000156316756342516
"243","Falling: A Story of Love ",1,0.000438634562333097
"244","Fallout Tactics: Brotherhood of Steel ",1,0.000215859681784839
"245","Four Horsemen of the Apocalypse ",1,0.000147288282969967
"246","From Headlines to Tight-Lines the Story of ATV Today ",1,0.000119646359148807
"247","Guns of the Law ",1,0.000101745055621982
"248","High & Low: The Movie ",1,0.000388514466312633
"249","History of Christian Worship: Part 1 - The Word ",1,0.000202973821674572
"250","Hondo and the Apaches ",1,0.000188009392263244
"251","How to Dance Through Time, Vol V: Victorian Era Couples Dancing ",1,0.000104883558849816
"252","ISIS: Enemies of Humanity ",1,0.000181325209363144
"253","Insaaf: The Final Justice ",1,0.000137370549445556
"254","Interception ",1,0.000114284358408847
"255","Jeff Steele: Children of the Doomed ",1,0.000111779633313965
"256","Jesse James vs. the Daltons ",1,0.000133767624283875
"257","Joshua Bailey and the Island of Death ",1,0.00024140217664902
"258","King Arthur and the Knights of the Round Table ",1,0.000172144962558282
"259","Kiss of the Moon ",1,0.000172144962558282
"260","Last of the Warrens ",1,0.000289333383436123
"261","Law of the West ",1,0.000273800794750847
"262","Lies, Damned Lies and Statistics/I'm Gone/Primer for Well Water ",1,0.000273800794750841
"263","Logic of Being ",1,0.000220526412496889
"264","Love Will Tear Us Apart ",1,0.000132036116876846
"265","Mass Effect: Isolation ",1,0.000195205233872054
"266","Mutiny in Outer Space ",1,0.000128704185817246
"267","Overland Riders ",1,0.000348673654518574
"268","Pals of the Saddle ",1,0.00029777983761961
"269","Pearl Carter Scott: On Top of the World ",1,0.000108221850068869
"270","Presidents and Prophets ",1,0.000153957436597593
"271","Pride of the Plains ",1,0.000297779837619614
"272","Pro Wrestling Eclipse: November Bash ",1,0.00025985094296196
"273","Pro Wrestling Eclipse: Winters Moon ",1,0.000122520573140039
"274","ROH Supercard of Honor IX ",1,0.000114284358408846
"275","Realm of Darkness ",1,0.000161259187089069
"276","Return of the Frontiersman ",1,0.000326362118537641
"277","Roy Jones, Jr.: Heart of a Champion ",1,0.000124010094218636
"278","Sailplane Grand Prix in the Andes ",1,0.996359961345581
"279","Skateboarding Explained: The Instructional DVD ",1,0.000161259187089052
"280","Son of the Lion King ",1,0.00021585968178485
"281","Space Hulk: Vengeance of the Blood Angels ",1,0.000109382343736393
"282","Space Opera - The Shade of Human Soul ",1,9.08685641993989e-05
"283","Spell of the Circus ",1,0.000266643541740059
"284","Starchaser: The Legend of Orin ",1,0.000247253639758253
"285","Swimsuit Illustrated: On Location ",1,0.000316243935177602
"286","Tears of Heaven ",1,0.000125536278170196
"287","Tenting Tonight on the Old Camp Ground ",1,0.00014519180216012
