"","document","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","cluster"
"11","Shirley Pimple in the John Wayne Temple of Doom ",0.000163849487592434,0.000163849487592443,0.000163849487592441,0.000163849487592453,0.000163849487592446,0.000163849487592443,0.000163849487592445,0.996067612297781,0.000163849487592449,0.000163849487592443,0.000163849487592429,0.000163849487592451,0.000163849487592437,0.000163849487592452,0.000163849487592444,0.000163849487592442,0.000163849487592443,0.000163849487592442,0.000163849487592442,0.000163849487592446,0.000163849487592445,0.000163849487592439,0.000163849487592438,0.00016384948759244,0.000163849487592455,5
"12","The Ruse of the Rattler ",0.000132036116876827,0.000132036116876841,0.000132036116876852,0.00013203611687684,0.000132036116876829,0.000132036116876838,0.000132036116876846,0.996831133194956,0.000132036116876826,0.000132036116876836,0.000132036116876839,0.000132036116876845,0.000132036116876836,0.000132036116876841,0.000132036116876853,0.000132036116876834,0.000132036116876836,0.00013203611687684,0.000132036116876849,0.000132036116876835,0.000132036116876835,0.00013203611687683,0.000132036116876829,0.000132036116876842,0.000132036116876835,5
"13","Blazing the Western Trail ",0.000130348862416127,0.000130348862416113,0.000130348862416121,0.000130348862416127,0.000130348862416126,0.000130348862416115,0.000130348862416107,0.996871627302013,0.000130348862416116,0.000130348862416132,0.000130348862416135,0.000130348862416115,0.00013034886241612,0.000130348862416122,0.000130348862416106,0.00013034886241612,0.000130348862416122,0.000130348862416125,0.000130348862416134,0.000130348862416114,0.000130348862416115,0.000130348862416112,0.00013034886241612,0.000130348862416122,0.000130348862416102,5
"14","Cruz Reynoso: Sowing the Seeds of Justice ",0.000215859681784839,0.000215859681784846,0.000215859681784852,0.000215859681784853,0.000215859681784848,0.000215859681784846,0.000215859681784849,0.994819367637164,0.00021585968178484,0.000215859681784849,0.000215859681784855,0.000215859681784846,0.000215859681784849,0.000215859681784857,0.000215859681784851,0.000215859681784847,0.000215859681784839,0.000215859681784845,0.000215859681784849,0.000215859681784846,0.000215859681784848,0.000215859681784846,0.000215859681784849,0.000215859681784849,0.000215859681784844,5
"15","Hondo and the Apaches ",0.000188009392263244,0.000188009392263249,0.0953147009332091,0.000188009392263244,0.000188009392263246,0.000188009392263239,0.00018800939226323,0.900361083044736,0.000188009392263252,0.000188009392263231,0.000188009392263233,0.000188009392263237,0.000188009392263244,0.000188009392263242,0.000188009392263236,0.000188009392263244,0.000188009392263249,0.000188009392263238,0.000188009392263238,0.000188009392263228,0.000188009392263246,0.000188009392263243,0.00018800939226325,0.000188009392263247,0.000188009392263244,5
"16","Pride of the Plains ",0.000297779837619614,0.000297779837619618,0.000297779837619612,0.000297779837619601,0.000297779837619598,0.000297779837619597,0.000297779837619607,0.99285328389713,0.000297779837619574,0.000297779837619588,0.000297779837619595,0.000297779837619592,0.000297779837619587,0.000297779837619604,0.000297779837619611,0.000297779837619599,0.00029777983761959,0.000297779837619608,0.000297779837619592,0.000297779837619604,0.000297779837619594,0.000297779837619612,0.000297779837619621,0.000297779837619598,0.00029777983761959,5
"17","The Adventures of Ace X and Kid Velvet ",0.000132036116876839,0.000132036116876835,0.000132036116876847,0.000132036116876837,0.000132036116876843,0.000132036116876835,0.000132036116876838,0.996831133194956,0.000132036116876852,0.000132036116876836,0.000132036116876826,0.000132036116876852,0.000132036116876815,0.00013203611687683,0.000132036116876835,0.000132036116876833,0.000132036116876828,0.000132036116876848,0.000132036116876834,0.000132036116876847,0.000132036116876841,0.000132036116876837,0.00013203611687683,0.000132036116876843,0.00013203611687683,5
"18","The Farmer ",0.000169288022382433,0.000169288022382434,0.000169288022382427,0.000169288022382429,0.000169288022382424,0.000169288022382415,0.000169288022382423,0.995937087462822,0.00016928802238243,0.000169288022382427,0.00016928802238241,0.000169288022382438,0.000169288022382431,0.000169288022382434,0.000169288022382435,0.000169288022382424,0.000169288022382437,0.000169288022382434,0.000169288022382419,0.000169288022382438,0.000169288022382442,0.000169288022382423,0.000169288022382424,0.00016928802238243,0.000169288022382412,5
"19","The Sagebrush Family Trails West ",6.06249503178356e-05,6.0624950317839e-05,6.06249503178385e-05,6.06249503178492e-05,6.06249503178601e-05,6.06249503178436e-05,6.06249503178365e-05,0.998545001192371,6.0624950317841e-05,6.06249503179065e-05,6.06249503179281e-05,6.06249503178404e-05,6.06249503178465e-05,6.06249503178542e-05,6.0624950317842e-05,6.06249503178429e-05,6.06249503178525e-05,6.06249503178571e-05,6.06249503178426e-05,6.06249503178285e-05,6.06249503178365e-05,6.06249503178488e-05,6.0624950317831e-05,6.06249503178576e-05,6.06249503179644e-05,5
"20","Vigilantes of Dodge City ",0.000125536278170197,0.000125536278170203,0.000125536278170214,0.000125536278170202,0.000125536278170205,0.000125536278170192,0.000125536278170191,0.996987129323915,0.000125536278170194,0.000125536278170205,0.000125536278170203,0.000125536278170197,0.000125536278170194,0.000125536278170194,0.000125536278170205,0.000125536278170194,0.0001255362781702,0.000125536278170245,0.000125536278170197,0.000125536278170197,0.000125536278170201,0.0001255362781702,0.000125536278170186,0.000125536278170195,0.00012553627817022,5
